date,Topic0,Topic1,Topic0.1,Topic1.1,Topic2,Topic3,Topic4,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation,Angry,Happy,Satisfaction,Stress,close,open
5/27/2018,0.121243176,0.878756827,0.435491767,0.266600777,0.0400012,0.148283356,0.109622897,0.037467406,0.02213683,0.052958946,0.319864621,0.066359929,0.238347596,0.220703235,0.042161436,0.344166104,0.889024431,0.672555571,0.176724956,100.5075,100.09
5/28/2018,0.157328528,0.842671469,0.357193973,0.315293184,0.044726507,0.180902663,0.101883674,0.025003454,0.014622762,0.045827424,0.445436609,0.052049443,0.190267039,0.182295341,0.044497928,0.233836178,0.937629728,0.772896492,0.111971888,100.705,100
5/29/2018,0.117152759,0.882847245,0.457827631,0.348447632,0.03939395,0.092153752,0.062177039,0.009835931,0.008144394,0.057010977,0.411870496,0.056631693,0.241078244,0.162042982,0.053385288,0.159881997,0.968315489,0.840759211,0.058544595,101.1,101.66
5/30/2018,0.162219314,0.837780684,0.292520501,0.384564975,0.06477868,0.202019931,0.073440083,0.038355288,0.020663651,0.057243333,0.356316999,0.060188587,0.195896521,0.219512458,0.051823164,0.23602737,0.900178915,0.72962719,0.133354472,101.83,101.15
5/31/2018,0.183096397,0.816903602,0.294432462,0.375675781,0.068687415,0.1727708,0.104259083,0.011614114,0.004974853,0.043943243,0.443510194,0.046314154,0.228300952,0.171235067,0.050107413,0.130845553,0.993612015,0.852844507,0.018910576,100.25,100.54
6/1/2018,0.232106969,0.767893036,0.341325468,0.289350396,0.066581357,0.133073439,0.180115766,0.010180042,0.012967175,0.046969211,0.419813187,0.047921902,0.218114821,0.195089334,0.048944313,0.164848293,0.993848828,0.852105585,0.036926111,100.25,100.5975
6/2/2018,0.184267179,0.815732824,0.471402195,0.265198165,0.077751009,0.093733543,0.091915097,0.012565308,0.015647263,0.061976776,0.424230998,0.072098559,0.19636995,0.156709275,0.060401853,0.144162169,0.915201648,0.851739796,0.053753747,100.2175,100.655
6/3/2018,0.18250993,0.817490075,0.417586214,0.238202246,0.073133548,0.161864162,0.112647694,0.009813873,0.003260504,0.039888185,0.433374441,0.064470338,0.174988177,0.229671213,0.044533272,0.165232348,0.966182991,0.896477832,0.096358161,100.185,100.77
6/4/2018,0.159324549,0.840675453,0.388094956,0.327278127,0.048204935,0.173101183,0.063320805,0.008463022,0.003033148,0.043586402,0.515417636,0.044143153,0.164355045,0.171522246,0.049479342,0.109729926,0.992590645,0.884214975,0.021369623,100.12,100.46
6/5/2018,0.1424485,0.857551502,0.328678073,0.437955122,0.04026455,0.122773781,0.090411174,0.008683074,0.006591174,0.053848413,0.374814211,0.054205666,0.250650002,0.198640893,0.052566562,0.171276822,0.982552324,0.843731542,0.063425466,100.21,100.4
6/6/2018,0.133395155,0.866604851,0.345238631,0.437932318,0.044876669,0.119030441,0.05292195,0.010271221,0.011604301,0.049338921,0.433475964,0.060841483,0.230448183,0.162035809,0.041984105,0.137225283,0.965774117,0.851245978,0.090013159,100.83,100.51
6/7/2018,0.146572543,0.853427457,0.313810584,0.443404707,0.058338396,0.137217196,0.047229125,0.013552208,0.014090704,0.055098887,0.423012892,0.056262022,0.195335325,0.196697992,0.045949966,0.126417048,0.987784501,0.854476828,0.081356731,101.16,101.18
6/8/2018,0.135489845,0.864510161,0.373255062,0.351523436,0.059261042,0.117067286,0.098893176,0.011745349,0.011221379,0.056434506,0.390307119,0.044835328,0.235448354,0.208122828,0.041885124,0.160428242,0.990166064,0.835015776,0.070452949,102.49,101.5375
6/9/2018,0.194305429,0.80569457,0.353810978,0.266488975,0.053788738,0.201440689,0.124470626,0.008542286,0.008734923,0.054858384,0.500382991,0.039208031,0.162624655,0.169792576,0.055856144,0.099046939,0.98500583,0.86647836,0.060085413,102.67,101.895
6/10/2018,0.185681406,0.814318594,0.387829309,0.275756306,0.074988396,0.164490388,0.117416344,0.012798361,0.006676509,0.057981939,0.49692086,0.035966516,0.169287101,0.186905116,0.033463593,0.15315005,0.999810728,0.870814381,0.012659019,102.85,102.61
6/11/2018,0.139827278,0.860172725,0.311273525,0.383306954,0.037470425,0.152527556,0.119672238,0.009769982,0.006121131,0.065512201,0.492753482,0.042499761,0.17360646,0.17033342,0.039403558,0.128246682,0.978665005,0.843771732,0.056116273,103.21,103.23
6/12/2018,0.143394153,0.856605849,0.40389609,0.320750484,0.05678059,0.147909,0.078611898,0.012878202,0.018511673,0.056857965,0.385567076,0.043125984,0.232187667,0.206949262,0.04392216,0.202125111,0.970628525,0.814114016,0.046803523,104.48,104.16
6/13/2018,0.162219531,0.837780465,0.238626226,0.466218791,0.043414878,0.156353282,0.095386827,0.010756513,0.004071403,0.042632464,0.475515691,0.043051251,0.183103775,0.195570509,0.045298378,0.137704497,0.999033399,0.87126733,0.041371623,105.27,105.26
6/14/2018,0.106856241,0.893143766,0.359334496,0.411094387,0.03982483,0.126415211,0.075375707,0.012866668,0.0142934,0.06176766,0.396308683,0.049210247,0.223026007,0.19306817,0.049459146,0.176045149,0.969982951,0.800047637,0.077030403,105.13,105.1
6/15/2018,0.140720561,0.859279455,0.238095148,0.444140595,0.077790709,0.121093378,0.118880167,0.010783086,0.00690933,0.059395483,0.399766504,0.051267892,0.229453857,0.197293301,0.045130547,0.146668761,0.984124889,0.885320091,0.036741862,107.61,105.5775
6/16/2018,0.119939672,0.880060334,0.425881828,0.323371212,0.03896618,0.128103132,0.083677648,0.012021348,0.023938824,0.073513963,0.301438105,0.077532985,0.259938426,0.206417374,0.045198981,0.165885943,0.961921468,0.797150967,0.185427027,107.0525,106.055
6/17/2018,0.240262584,0.759737421,0.395283112,0.241623082,0.071048324,0.108311356,0.183734135,0.008539563,0.002620656,0.03184062,0.485600493,0.040727167,0.203343023,0.16855625,0.058772223,0.152990941,0.988965236,0.905326528,0.012090546,106.495,107.01
6/18/2018,0.140468125,0.859531872,0.412726777,0.335627965,0.055103123,0.138368126,0.07724597,0.010587923,0.006057117,0.049241513,0.429023828,0.041912592,0.242850121,0.175880746,0.044446152,0.144596551,0.994510487,0.8643047,0.025641198,105.38,105.49
6/19/2018,0.134434982,0.865565019,0.315893461,0.418773555,0.049250412,0.149643039,0.086015114,0.008550124,0.004126617,0.042813242,0.41619061,0.05179932,0.279190146,0.144547172,0.052782761,0.139246086,0.98675617,0.859634521,0.044493585,105.96,105.73
6/20/2018,0.100362372,0.899637627,0.375276466,0.412008001,0.044313214,0.090214396,0.080514246,0.010970336,0.009032523,0.049479239,0.434351407,0.046441256,0.245467086,0.158364767,0.045893377,0.152322692,0.969668107,0.836508288,0.073142504,105.81,106.57
6/21/2018,0.132505729,0.867494269,0.273250165,0.456711428,0.061317191,0.160133717,0.081670989,0.013776271,0.006563192,0.055440228,0.447805951,0.049754115,0.183158996,0.19675691,0.046744325,0.124577345,0.973253006,0.850043078,0.049713968,107.24,107.24
6/22/2018,0.078916644,0.921083354,0.282338295,0.222518732,0.02668585,0.178194133,0.393407165,0.018886239,0.011559125,0.074473532,0.359423639,0.063238516,0.193709262,0.240223161,0.038486522,0.111766034,0.987545319,0.831446973,0.115655956,108.37,107.3575
6/23/2018,0.176883605,0.823116398,0.381183876,0.25706043,0.074163281,0.173130524,0.115261985,0.034152843,0.198532788,0.212428234,0.06684741,0.033754016,0.318865868,0.115072403,0.020346463,0.776452013,0.560094982,0.10529683,0.599247014,108.525,107.475
6/24/2018,0.159095594,0.840904407,0.416820903,0.233643458,0.068658271,0.148299591,0.134503292,0.031421685,0.185929577,0.228861495,0.098224649,0.030827651,0.29825184,0.103700388,0.022782724,0.608010016,0.658222606,0.168901029,0.563334639,108.68,107.71
6/25/2018,0.157307041,0.842692964,0.362312087,0.284743283,0.065453725,0.157488957,0.134067609,0.024696179,0.130835019,0.201974721,0.146471427,0.035276302,0.306953778,0.125569805,0.028222776,0.456920528,0.784452343,0.346984157,0.386564378,108.99,109.05
6/26/2018,0.158921725,0.841078277,0.400466677,0.207242739,0.060408861,0.193250583,0.143754701,0.019722221,0.089931655,0.156265758,0.207125407,0.039104021,0.28744284,0.173267155,0.02714096,0.481113835,0.869390508,0.446321785,0.23520357,108.05,108.37
6/27/2018,0.10457033,0.895429674,0.262625103,0.414233885,0.039581479,0.216356578,0.079221035,0.015874344,0.042103786,0.09707771,0.355561981,0.037416023,0.257639905,0.161083907,0.033242331,0.245496394,0.959665407,0.679189879,0.092639331,108.27,108.42
6/28/2018,0.133279725,0.866720277,0.390017707,0.320385474,0.043372761,0.147531275,0.098692789,0.011618275,0.020550862,0.061962553,0.394265833,0.054995823,0.247966198,0.165212313,0.04342813,0.17927864,0.94691547,0.81026702,0.099329306,108.68,108.72
6/29/2018,0.102588773,0.897411231,0.338532097,0.241800074,0.042093284,0.174005115,0.304547166,0.019384605,0.017937167,0.081066555,0.31937116,0.075884903,0.227446945,0.2160609,0.042847761,0.146493406,0.942528709,0.772249767,0.202274876,108.87,108.715
6/30/2018,0.209350675,0.790649321,0.42794909,0.191102505,0.059500202,0.260436373,0.061011843,0.011723372,0.030244105,0.061486955,0.376103289,0.051921149,0.27176459,0.14650944,0.050247099,0.246309996,0.917888618,0.755853603,0.137870691,109.035,108.71
7/1/2018,0.15141281,0.84858719,0.448084458,0.264051656,0.06083049,0.138258199,0.088775194,0.009174873,0.006651609,0.099435329,0.271069975,0.040892221,0.309834363,0.216298744,0.046642874,0.161964128,0.998076906,0.758467169,0.075751723,109.2,108.7
7/2/2018,0.144175281,0.855824709,0.466458538,0.223325358,0.052379335,0.153093836,0.104742941,0.010567698,0.005411805,0.053840477,0.464945352,0.067322091,0.202686124,0.141684987,0.053541471,0.068588686,0.951640804,0.864613288,0.120429239,109.53,108.58
7/3/2018,0.125185558,0.874814446,0.389687133,0.373891818,0.038512835,0.126643957,0.071264264,0.013282028,0.024120289,0.08544399,0.42550625,0.035647952,0.194386589,0.179989478,0.041623416,0.18964349,0.974455771,0.788403532,0.12069471,108.8,108.745
7/4/2018,0.117663963,0.88233604,0.352431909,0.360062691,0.049778223,0.177100584,0.070281763,0.007717983,0.006422546,0.051937168,0.441908972,0.042288708,0.217138487,0.184523476,0.048062658,0.142877557,0.981397098,0.875729515,0.02233138,109.175,108.91
7/5/2018,0.12125093,0.87874907,0.422845845,0.308656444,0.061257381,0.123319648,0.083920687,0.010583834,0.022133012,0.060380105,0.340992809,0.032971049,0.349666058,0.146057458,0.03721567,0.257097192,0.991293361,0.760522992,0.010897824,109.55,109.49
7/6/2018,0.154535017,0.845464993,0.458444427,0.279526999,0.047709198,0.169666572,0.044652803,0.009706178,0.01252492,0.057442978,0.389928934,0.042527395,0.300078871,0.13501035,0.052780363,0.174429192,0.966322306,0.787561431,0.049920472,109.56,109.4
7/7/2018,0.10966787,0.890332127,0.277030763,0.520151756,0.039348462,0.143619095,0.039436726,0.008061386,0.011807641,0.061782268,0.364906117,0.05713791,0.231575367,0.23955026,0.025179013,0.162807021,0.999453012,0.856982064,0.026213077,109.11,109.31
7/8/2018,0.109183161,0.890816821,0.59555314,0.231874699,0.059436175,0.078039614,0.035096367,0.007981194,0.00259852,0.051303004,0.554758658,0.047551374,0.163684201,0.131219026,0.040904036,0.083483322,0.997921163,0.916581854,0.069400092,108.66,109.13
7/9/2018,0.163520947,0.836479043,0.368072774,0.325299538,0.04985929,0.16810454,0.088663852,0.011358911,0.007805516,0.04578855,0.309429649,0.059155473,0.297503777,0.203876644,0.065081471,0.195867098,0.94018339,0.871508682,0.06428842,107.76,110.62
7/10/2018,0.153152738,0.84684727,0.46269154,0.274130754,0.057811394,0.13046592,0.074900399,0.011873252,0.003977455,0.048945871,0.459375785,0.051495341,0.182889765,0.194366379,0.047076137,0.083304965,0.998790067,0.879968216,0.023001142,112.89,112.64
7/11/2018,0.119181449,0.88081855,0.390494191,0.337124683,0.046225162,0.148581804,0.082572972,0.011166267,0.005667194,0.059419453,0.429969822,0.047204074,0.211345858,0.198214378,0.03701296,0.121595955,0.99731434,0.844878511,0.036181256,112.54,112.54
7/12/2018,0.119568322,0.880431683,0.368473433,0.354933387,0.04112098,0.128372542,0.10709966,0.011433699,0.009743285,0.065661427,0.380791254,0.049806347,0.246441015,0.191927938,0.04419503,0.139685655,0.985692278,0.815489448,0.04418944,111.53,111.68
